Описание;Решение  ;Тех. Решение 
"Коллеги, добрый день!
Прошу перенести врача Зайцев Юрий Евгеньевич в модель расписания ""ПМ-КЗ Кардиология"". Врача из модели расписания ""ПМ-КЗ Общая врачебная практика и терапия"" прошу удалить.


1. Модель «ПМ-КЗ Кардиология» 
2. ФИО Зайцев Юрий Евгеньевич (врач-кардиолог) 
3. Виды приема как у врача Сазонова Лариса Петровна 
4. Разместить в модели справа от врача Сазонова Лариса Петровна 
5.Кабинет и номер телефона не указывать";В продолжение телефонного разговора, дублирую информацию. Расписание добавлено.;В продолжение телефонного разговора, дублирую информацию. Расписание добавлено.
"Добрый вечер.Прошу удалить осмотр хирурга от 25.09.2025 согласованию с Кащенко В.А. на  основании одобренного решения, в связи с некорректным выставлением записи и  талона»
ЭМК 15158664";В продолжение телефонного разговора, дублирую информацию. Доступ предоставлен.;В продолжение телефонного разговора, дублирую информацию. Доступ предоставлен.
"Коллеги, добрый день!


1. Модель «ПМ-КЗ помощь на дому» 
2. ФИО Фомивко Юлия Александровна (врач-терапевт) 
3. Виды приема как у врача 
4. Разместить в модели справа от врача Фомивко Максим Юрьевич
5.Кабинет и номер телефона не указывать";В продолжение телефонного разговора, дублирую информацию. Расписание добавлено.;В продолжение телефонного разговора, дублирую информацию. Расписание добавлено.
"После перезахода в программу перестали отображаться пациенты отделения. Такая же проблема и у коллеги: Федосков Андрей Михайлович. Фильтр выставлен на ""текущем отделении""

w15-0470-0726

тел: 7618

<Картинка>";В продолжение телефонного разговора, дублирую информацию. Пациенты успешно возвращены.;В продолжение телефонного разговора, дублирую информацию. Пациенты успешно возвращены.
"Требуется доступ в Медиалог
Юридическое лицо: ООО ""ММЦ""
ФИО сотрудника на русском: Диброва Татьяна Владимировна
Табельный номер: 0000003710
СНИЛС: 185-793-527 31
Должность: Врач-стоматолог детский
Дата рождения: 17.11.1991
Специальность по ТФОМС: Стоматология детская
Код специальности по ТФОМС: 68
Подразделение: Кабинет детской стоматологии / Стоматологическое отделение / Поликлиника / ОП ООО ""ММЦ"" МК
Руководитель ФИО: Костюк Ольга Витальевна
Руководитель позиции ФИО: Янковский Вадим Васильевич
Руководитель позиции Должность: Заведующий стоматологическим отделением - врач - стоматолог - терапевт /Стоматологическое отделение/
Мобильный телефон: +79218880288
Дата выхода на работу: 12 января 2026 г.";Добавлена новая штатная единица.;Добавлена новая штатная единица.
"Изменить штатную единицу на ""Амбулаторное отделение медицинской реабилитации""";Штатная единица добавлена.;Штатная единица добавлена.
"Изменить штатную единицу на ""Амбулаторное отделение медицинской реабилитации""";Штатная единица добавлена.;Ошибочный наряд.
Прошу предоставить доступ в МИС Медиалог для сотрудника. Штатная единица Стационарного отделения мед. реабилитации;Штатная единица добавлена. пользователю необходимо перезайти в МИС Медиалог;Штатная единица добавлена. пользователю необходимо перезайти в МИС Медиалог
Прошу предоставить доступ в МИС Медиалог для сотрудника Петрова Наталия Геннадиевна - возможность формирования типа записи, как у профпатолога (закрытие ПМО и формирование заключения) - врач - профпатолог (Профосмотр - Профпатолог). Аналогично прав, например, Резниковой Элеоноры Николаевны. Данный тип записи необходим для тестирования возможности внесения данных о результатах ПМО в МИС Медиалог для дальнейшего использования специалистами аналитического отдела.;В продолжение телефонного разговора, дублирую информацию. Доступ предоставлен.;"В продолжение телефонного разговора, дублирую информацию. Доступ предоставлен.

16/01/26 Созвонится с пользователем для уточнения необходимости добавления пользователя в коммисию профпатологов."
"При попытке подтвердить запись-появляется  ошибка о том,что невозможно сохранить изменения в таблице  Диагнозы-укажите характер заболевания. Характер заблования указал и пробую подтвердить запись, но ошибка по-прежнему появляется  такого же характера.
тел. 8-911-930-12-75
W15-0470-0017";В продолжение телефонного разговора, дублирую информацию. Запись успешно подтверждена.;"16.01.2026 Не дозвонилась до пользователя.
        
В продолжение телефонного разговора, дублирую информацию. Запись успешно подтверждена."
"Необходимо разместить пациента в отделении 6А лор
Пациент Гайфулина Илона Эдуардовна.
ЭМК 15085728
Необходимо разместить в 6 палату 14.01.2026г.";В продолжение телефонного разговора, дублирую информацию. Пациент успешно размещен.;В продолжение телефонного разговора, дублирую информацию. Пациент успешно размещен.
"Пропал склад ""Склад отделение стационара медицинской реабилитации"" из выбора для списания.

w15-0470-0131

тел: 7446 или +7 (996) 120-25-80

<Картинка>";В продолжение телефонного разговора, дублирую информацию. Доступ к сладам предоставлен.;"15.01.26 Не дозвонилась до пользователя.
В продолжение телефонного разговора, дублирую информацию. Доступ к сладам предоставлен."
"Задвоился пациент.
Пациент должен лежать в 4 боксе. в Отделении 2В.
Тел. 7264
    
<Картинка>
  
<Картинка>";Проблема была в удвоение брони. Проблема устранена.;Проблема была в удвоение брони. Проблема устранена.
"Добрый день.

Прошу согласовать добавление услуги 04.01.02.00.0140 ""XXX* // Пребывание в палате повышенной комфортности, в сутки""  в штатную единицу менеджер стационара следующим сотрудникам:
1. Овчинникова Анна Алексеевна
2. Байкалова Антонина Андреевна
3. Овсянникова Яна Сергеевна
4. Котореишвили Алеся Константиновна
5. Соболева Божена Дмитриевна
6. Ржаницына Марина Андреевна
7. Каганская Анастасия Андреева 
8. Бурцева Ирина Владимировна
9. Безмен Елена Валерьевна
10. Лукашик Лидия Александровна
11. Светличная Милана Борисовна
12. Ругинене Яна Сергеевна
13. Олина Юлия Сергеевна
14. Трофимова Олеся Рамильевна
15. Анфалова Гюльшан Мазахировна
16. Хороших Дарья Олеговна
17. Дроздова Анастасия Витальевна
18. Серова Елена Алексеевна
19. Абраменко Ольга Евгеньевна
20. Иванова Валерия Олеговна 
21. Васильева Елена Александровна
22. Ким Елена Дмитриевна
23. Сатанович Наталья Алексеевна
24. Гудова Дарья Андреевна  
25. Андреева Ирина Петровна 
26. Абросимова Анна Михайловна
27. Санжаревская Ольга Владимирвона
28. Цветкова Анна Александровна
29. Лобанова Зоя Владимировна
30. Богуш Мария Владимировна";В продолжение телефонного разговора, дублирую информацию.Заявка не актуальна. Обращение закрываю по согласованию с пользователем.;В продолжение телефонного разговора, дублирую информацию. Заявка не актуальна. Обращение закрываю по согласованию с пользователем.
"Прошу уточнить, есть ли возможность расширить список манипуляции? 

w15-0470-0370
тел: 7204

<Картинка>";Добрый день! К сожалению не получила от вас обратную связь. В случае, если обращение еще актуально, прошу переоткрыть заявку.;"19.01.2026 Не дозвонилась до пользователя.
20.01.2026 Не дозвонилась до пользователя.
21.01.2026 Не дозвонилась до пользователя.

Добрый день!К сожалению не получила от вас обратную связь. В случае, если обращение еще актуально, прошу переоткрыть заявку."
"Добрый день коллеги!
Помогите разобраться с  ситуацией.  
Пациент: ФЕДОСЕЕВА Надежда  Александровна
Дата рождения: 30.11.1980 (45  лет)    № ЭМК: 15191677
 14 января была у меня на  приеме (поликлиника - офтальмолог) в рамках Чек-ап.
При создании осмотра офтальмолога, не прикреплен талон «осмотр первичный  офтальмолог».
Прикреплены только «манипуляции офтальмологические»
 Я   добавил недостающий талон с услугой «осмотр офтальмолога» но, он проходит  отдельно от чек-апа
 Спасибо!";В продолжение телефонного разговора, дублирую информацию. Пользователю удалось решить проблему с помощью финблока. Обращение закрываю по согласованию с пользователем.;В продолжение телефонного разговора, дублирую информацию. Пользователю удалось решить проблему с помощью финблока. Обращение закрываю по согласованию с пользователем.
"Не подтягивается поле ВМП с вчерашнего дня, и самостоятельно его не заполнить
Скриншоты во вложении.

Номер для связи: 981-938-44-34
Имя компьютера: w15-0470-0468";В продолжение телефонного разговора, дублирую информацию. При смене диагноза талон ВМП подтянулся успешно.;"Созвон с пользователем запланирован на 19.01.2026.
В продолжение телефонного разговора, дублирую информацию. При смене диагноза талон ВМП подтянулся успешно."
Прошу добавить вкладку выполнение процедуры для сотрудника Семенцов Н травматологическое отделение;В рамках обращения добавлен новый тип записи .;Тип записи добавлен.
"Мамедов Саят Сахават оглы 

1. Модель «ПМ-КЗ Служба на дому» 
2. ФИО Мамедов Саят Сахават оглы (врач-терапевт) 
3. Виды приема как у врача Шуйская Ксения Александровна
4. Разместить в модели справа от Шуйская Ксения Александровна
5.кабинет и телефон не указывать";В продолжение телефонного разговора, дублирую информацию. Мамедов Саят Сахават оглы добавлен в модель расписания ПМ-КЗ служба на дому.;В продолжение телефонного разговора, дублирую информацию. Мамедов Саят Сахават оглы добавлен в модель расписания ПМ-КЗ служба на дому.
"Необходимо разместить пациента в другую палату.
Пациент Сюткина Анастасия Александровна.
ЭМК 153158
16.01.2026г.
 Палата 9 
Отделение Урология 5Г.
Тел. 7525";В продолжение телефонного разговора, дублирую информацию. Пациент выписан.;В продолжение телефонного разговора, дублирую информацию. Пациент выписан.
"Добрый день коллеги! Прошу предоставить доступ к выставлению услуг:
Факоэмульсификация катаракты (список услуг во вложении)

Врачу офтальмологу хирургического отделения Власовой Ольге Александровне в рамках штатной единицы пользователя в МИС Медиалог РН-СТ Хирургическое отделение. На данный момент врач видит данные услуги только под учетной записью АПО";В продолжение телефонного разговора, дублирую информацию. Совершен звонок Власовой Ольге Александровне. Доступ предоставлен.;"21.01.26 Не дозвонилась до пользователя.
В продолжение телефонного разговора, дублирую информацию. Совершен звонок Власовой Ольге Александровне. Доступ предоставлен."
"У пациента Рстакян Армен Араратович ЭМК 15196684, была изначально внесена неверная дата рождения, после внесения верной даты рождения, она не применилась к исследования и в других документах.
Прошу исправить дату во всех местах где она указана неверная.
Тел. 7748.";В продолжение телефонного разговора, дублирую информацию. Дата рождения успешно исправлена.;В продолжение телефонного разговора, дублирую информацию. Дата рождения успешно исправлена.
"В МИС Медиалог на рабочем столе, во вкладке настройки (наверху слева) заблокирован доступ к ""Параметры"" . Прошу открыть доступ.";В продолжение телефонного разговора, дублирую информацию. Доступ предоставлен.;В продолжение телефонного разговора, дублирую информацию. Доступ предоставлен.
"прошу проконсультировать,как их выдавать
тел 3641
<Картинка>";В продолжение телефонного разговора, дублирую информацию. Проведена консультация МИС Медиалог.;В продолжение телефонного разговора, дублирую информацию. Проведена консультация МИС Медиалог.
"Прошу удалить типы записей для врачей дерматологов, выделенные зеленым цветом в модели ПМ-КЗ Дерматология. Врачи Кузина Елизавета Павловна и Максимова Юлия Николаевна
<Картинка>";В рамках обращения лишние типы записи удалены.;В рамках обращения лишние типы записи удалены.
"Прошу удалить типы записей, выделенные на скриншоте зеленым для врачей модели ПМ-КЗ гинекология Кулиева Наргиз Сатдар кызы и Рязанова Ольга Ивановна
<Картинка>";В рамках обращения лишние типы записи удалены.;В рамках обращения лишние типы записи удалены.
Прошу прикрепить скидку сотруднику Волошко Екатерина Владимировна;Скидка прикреплена.;Скидка прикреплена.
Прошу прикрепить скидку сотруднику Волошко Екатерина Владимировна;Скидка прикреплена.;Требуется добавить скидку.
"Прошу удалить типы записей, выделенные на скриншоте зеленым для врачей модели ПМ-КЗ неврология Врачи: Башкова Анна Геннадьевна и Голосова Оксана Александровна
<Картинка>";В рамках обращения неактуальные типы записи удалены.;В рамках обращения неактуальные типы записи удалены.
"Прошу удалить для врачей модели ПМ-КЗ Общая врачебная практика и терапия тип записи ""МЦС_БУ Осмотр терапевта (10 мин)"". 
<Картинка>";"В продолжение телефонного разговора, дублирую информацию. Неактуальные типы записи удалены для врачей модели ПМ-КЗ Общая врачебная практика и терапия  ""МЦС_БУ Осмотр терапевта (10 мин)"". Добавлен новый тип записи всем врачам модели ПМ-КЗ Общая врачебная практика и терапия ""МЦС_БУ Осмотр терапевта перед вакцинацией(10 мин)""";"В продолжение телефонного разговора, дублирую информацию. Неактуальные типы записи удалены для врачей модели ПМ-КЗ Общая врачебная практика и терапия  ""МЦС_БУ Осмотр терапевта (10 мин)"". Добавлен новый тип записи всем врачам модели ПМ-КЗ Общая врачебная практика и терапия  ""МЦС_БУ Осмотр терапевта перед вакцинацией(10 мин)"""
"Прошу удалить неактуальные типы записей 
1. МЦС_БУ Манипуляция (15 мин) для врача Бригалян Арина Тиграновна и Коваленко Ольга Сергеевна
2. МЦС_БУ Профосмотр (5 минут) у врача Балин Кирилл Дмитриевич, Ожиганова Ольга Владимировна
3. МЦС_БУ Осмотр (15 мин) для всех врачей модели ПМ КЗ Стоматология
4. МЦС_БУ Операция (30 мин) МЦС_БУ Операция (60 мин) МЦС_БУ Операция (90 мин) Перевязка (15 мин) у всех врачей в модели ПМ КЗ Травматология и ПМ-КЗ Хирургия
5. МЦС_БУ ЭХО КГ (60 мин) МЦС_БУ УЗДГ (30 мин) МЦС_БУ УЗДГ (60 мин) для всех врачей модели ПМ-КЗ ультразвуковая диагностика
6. МЦС_БУ Манипуляция (15 мин) для врачей модели ПМ-КЗ Травматология";В рамках обращения неактуальные типы записи успешно удалены.;В рамках обращения неактуальные типы записи успешно удалены.
"Пациента увезли на операцию и он потерялся в медиалог.
Пациент Орешкина Татьяна Анатольевна.
ЭМК 15199066
Необходимо разместить пациента в отделение анестезиологии и реанимации 2В 
Тел. 7418";В продолжение телефонного разговора, дублирую информацию. Пациент успешно размещен.;В продолжение телефонного разговора, дублирую информацию. Пациент успешно размещен.
"Коллеги, добрый день.
Пациентам Стационарного отделения медицинской реабилитации  предоставляются новые услуги:
02.04.03.01.0370 A19.30.007 Лечебная физкультура с  использованием тренажера // имитатор опорной нагрузки Корвит
02.04.03.02.0095 A19.30.007 Лечебная  физкультура с использованием тренажера//имитатор опорной нагрузки Корвит   с использованием VR очков
Но направление сделать невозможно и выставить талон, соответственно, тоже.
Прошу внести изменения в МИС т.к. пациенты не могут оплатить.
Спасибо!";В продолжение телефонного разговора, дублирую информацию. Услуги добавлены в глоссарий.;"В продолжение телефонного разговора, дублирую информацию. Услуги добавлены в глоссарий.
 
Изучен алгоритм создания,заполнения направлений, внесение услуг в глоссарий, совместно с коллегой (Резвухиной Викторией). Протестировано на  дейли базе."
"делаю запись от штатной единицы врач ФД, а в протоколе ставится кардиолог
w08-0800-0022
тел 3193";В  продолжение телефонного разговора, дублирую информацию. Должность в протоколе подтягивается корректно.;"Исправлен блок подписи в части специальности в макете
Суточное мониторирование ЭКГ Ф-23-РД-06 (МЦС3)

А именно, вместо подтягивания специальности с главной страницы учетной записи, теперь подтягивается специальность из штатной единицы, под которой создана запись в эмк
<Картинка>

Необходимо перезагрузить медиалог"
"делаю запись от штатной единицы врач ФД, а в протоколе ставится кардиолог
w08-0800-0022
тел 3193";В  продолжение телефонного разговора, дублирую информацию. Должность в протоколе подтягивается корректно.;"23.01.2026 Не дозвонилась до пользователя.

Создан наряд 0000132782 на аналитиков

В  продолжение телефонного разговора, дублирую информацию. Должность в протоколе подтягивается корректно."
"Прошу помочь провести госпитализацию пациента 15170217
Васильев Александр Николаевич
w15-0470-0289
тел. 7462
 
<Картинка>

<Картинка>

<Картинка>";В продолжение телефонного разговора, дублирую информацию.Некорректная  бронь аннулирована. Пациент успешно госпитализирован.;В продолжение телефонного разговора, дублирую информацию.Некорректная  бронь аннулирована. Пациент успешно госпитализирован.
"Ошибка при попытке госпитализации.
W15-0470-0289
Тел. 7462
<Картинка>";В продолжение телефонного разговора, дублирую информацию. Некорректная бронь аннулирована, после чего удалось госпитализировать.;В продолжение телефонного разговора, дублирую информацию. Некорректная бронь аннулирована, после чего удалось госпитализировать.
"В записи ЭМК результаты исследования есть, а в печатной форме они отсутствуют
w15-0470-0049
тел. 7738

<Картинка>";В продолжение телефонного разговора, дублирую информацию. Необходим перзапуск МИС на рабочем месте и переподписание записи для подтягивания корректного макета.;"Исправлено на рабочей базе. Необходим перзапуск МИС на рабочем месте и переподписание записи для подтягивания корректного макета.

Причина:
Услуга 02.03.01.36.0030, id=1100016262 не была внесена в список услуг ""Цитология"" на закладке ""Данные"" в запросе LAB_BLANK_RESULT_UNE_MPO
<Картинка>
<Картинка>
<Картинка>"
"В записи ЭМК результаты исследования есть, а в печатной форме они отсутствуют
w15-0470-0049
тел. 7738

<Картинка>";В продолжение телефонного разговора, дублирую информацию. Необходим перзапуск МИС на рабочем месте и переподписание записи для подтягивания корректного макета.;"В продолжение телефонного разговора, дублирую информацию. Необходим перзапуск МИС на рабочем месте и переподписание записи для подтягивания корректного макета.

Создан наряд 0000131667 на аналитиков."
"В шаблон цитологического заключения не пропечатываются результаты анализов, приходится добавлять данные в другие поля, чтобы распечатать пациенту результаты, просьба исправить
Скриншоты во вложении";Необходим перзапуск МИС на рабочем месте и переподписание записи для подтягивания корректного макета.;Необходим перзапуск МИС на рабочем месте и переподписание записи для подтягивания корректного макета.
"недоступен первичный прием
w15-0470-0241

<Картинка>";Ирина Александровна, добрый день!К сожалению не получила от вас обратную связь. В случае, если обращение еще актуально, прошу переоткрыть заявку.;"22.01.16 - Не дозвонилась до пользователя.
23.01.16 - Не дозвонилась до пользователя.

Отправлено сообшение пользователю. Закрываю наряд и обращение , т.к нет обратно связи от пользователя."
Нет «отчета  по загрузке кабинетов 2,0», который был в прошлом месяце (см приложенный файл);В продолжении телефонного разговора, дублирую информацию. Проведена консультация в МИС Медиалог.;В продолжении телефонного разговора, дублирую информацию. Проведена консультация в МИС Медиалог.
"Юридическое лицо: ООО ""ММЦ Профмедицина""
ФИО сотрудника на русском: Хренова Надежда Ивановна
Табельный номер: 0000003590
СНИЛС: 069-288-771 29
Должность: Фельдшер
Дата рождения: 18.07.1976
Специальность по ТФОМС: Лечебное дело (средний медперсонал)
Код специальности по ТФОМС: 206
Подразделение: Врачебный здравпункт ""РусХимАльянс"" - Усть-Луга / Отделение производственной медицины КЗ / Поликлиника КЗ / Обособленное подразделение Клиника ""ММЦ"" Кировский завод
Руководитель ФИО: Никольская Ольга Андреевна
Руководитель позиции ФИО: Лисицына Александра Петровна
Руководитель позиции Должность: Менеджер по работе с ключевыми клиентами /Проектный офис ""Усть-Луга(СС7)""/
Мобильный телефон: +7 (913) 3649871
Дата выхода на работу: 22 января 2026 г.";Доступ в МИС Медиалог не требуется.;Доступ в МИС Медиалог не требуется.
"Добрый день.
В записях врачей травматолгического отделения отсутствует копка формирования стоимости плана лечения
 
 
<Картинка>
С уважением,
Савицкий Дмитрий Святославович
Зав. ТО отделением - врач-травматолог-ортопед
Травматолого-ортопедическое отделение

Тел.: +7 (812) 406-88-88 доб. 3118
Моб.: +7 (981) 112-18-31

ООО «ММЦ»
191186, г. Санкт-Петербург, ул. Малая Конюшенная, д.8, лит.А

dsavitski@groupmmc.ru
spb.groupmmc.ru";"Дмитрий Святославович, добрый день. Расчет стоимости плана лечения добавлен в МИС Медиалог в филиал ММЦ МК.
Необходим перезапуск МИС на рабочем месте.";"22.01.2026 в рамках наряда 0000132073 (Обращение 0000128305 от 21.01.2026 12:08:10) в настройки видимости контейнера ""Услуги для фин.плана"" был добавлен и филиал ММЦ МК.
Необходим перезапуск МИС на рабочем месте.
<Картинка>"
"Добрый день.
В записях врачей травматолгического отделения отсутствует копка формирования стоимости плана лечения
 
 
<Картинка>
С уважением,
Савицкий Дмитрий Святославович
Зав. ТО отделением - врач-травматолог-ортопед
Травматолого-ортопедическое отделение

Тел.: +7 (812) 406-88-88 доб. 3118
Моб.: +7 (981) 112-18-31

ООО «ММЦ»
191186, г. Санкт-Петербург, ул. Малая Конюшенная, д.8, лит.А

dsavitski@groupmmc.ru
spb.groupmmc.ru";"Дмитрий Святославович, добрый день. Расчет стоимости плана лечения добавлен в МИС Медиалог в филиал ММЦ МК.
Необходим перезапуск МИС на рабочем месте.";"22.01.26 Созвонилась с пользователя. Жду  обратную связь по работе функционала.

Создан наряд 0000132237 на аналитиков

26.01.26 Не дозвонилась до пользователя.
27.01.26 Не дозвонилась до пользователя.
27.01.26 Не дозвонилась до пользователя.

в настройки видимости контейнера ""Услуги для фин.плана"" был добавлен и филиал ММЦ МК.
Необходим перезапуск МИС на рабочем месте."
